Iter| Action |	Reward	|	Done	|	Acc_rw
293	|	0	 |	-50.0000	|	false	|	 -13551.0000
294	|	0	 |	-50.0000	|	false	|	 -13601.0000
295	|	0	 |	-50.0000	|	false	|	 -13651.0000
296	|	0	 |	-50.0000	|	false	|	 -13701.0000
297	|	0	 |	-50.0000	|	false	|	 -13751.0000
298	|	0	 |	-50.0000	|	false	|	 -13801.0000
299	|	0	 |	-50.0000	|	false	|	 -13851.0000
300	|	0	 |	-50.0000	|	false	|	 -13901.0000
301	|	0	 |	-50.0000	|	false	|	 -13951.0000
302	|	0	 |	-50.0000	|	false	|	 -14001.0000
303	|	0	 |	-50.0000	|	false	|	 -14051.0000
304	|	0	 |	-50.0000	|	false	|	 -14101.0000
305	|	0	 |	-50.0000	|	false	|	 -14151.0000
306	|	0	 |	-50.0000	|	false	|	 -14201.0000
307	|	0	 |	-50.0000	|	false	|	 -14251.0000
308	|	0	 |	-50.0000	|	false	|	 -14301.0000
309	|	0	 |	-50.0000	|	false	|	 -14351.0000
310	|	0	 |	-50.0000	|	false	|	 -14401.0000
311	|	0	 |	-50.0000	|	false	|	 -14451.0000
312	|	0	 |	-50.0000	|	false	|	 -14501.0000
313	|	0	 |	-50.0000	|	false	|	 -14551.0000
314	|	0	 |	-50.0000	|	false	|	 -14601.0000
315	|	0	 |	-50.0000	|	false	|	 -14651.0000
316	|	0	 |	-50.0000	|	false	|	 -14701.0000
317	|	0	 |	-50.0000	|	false	|	 -14751.0000
318	|	0	 |	-50.0000	|	false	|	 -14801.0000
319	|	0	 |	-50.0000	|	false	|	 -14851.0000
320	|	0	 |	-50.0000	|	false	|	 -14901.0000
321	|	0	 |	-50.0000	|	false	|	 -14951.0000
322	|	0	 |	-50.0000	|	false	|	 -15001.0000
323	|	0	 |	-50.0000	|	false	|	 -15051.0000
324	|	0	 |	-50.0000	|	false	|	 -15101.0000
325	|	0	 |	-50.0000	|	false	|	 -15151.0000
326	|	0	 |	-50.0000	|	false	|	 -15201.0000
327	|	0	 |	-50.0000	|	false	|	 -15251.0000
328	|	0	 |	-50.0000	|	false	|	 -15301.0000
329	|	0	 |	-50.0000	|	false	|	 -15351.0000
330	|	0	 |	-50.0000	|	false	|	 -15401.0000
331	|	0	 |	-50.0000	|	false	|	 -15451.0000
332	|	0	 |	-50.0000	|	false	|	 -15501.0000
333	|	0	 |	-50.0000	|	false	|	 -15551.0000
334	|	0	 |	-50.0000	|	false	|	 -15601.0000
335	|	0	 |	-50.0000	|	false	|	 -15651.0000
336	|	0	 |	-50.0000	|	false	|	 -15701.0000
337	|	0	 |	-50.0000	|	false	|	 -15751.0000
338	|	0	 |	-50.0000	|	false	|	 -15801.0000
339	|	0	 |	-50.0000	|	false	|	 -15851.0000
340	|	0	 |	-50.0000	|	false	|	 -15901.0000
341	|	0	 |	-50.0000	|	false	|	 -15951.0000
342	|	0	 |	-50.0000	|	false	|	 -16001.0000
343	|	0	 |	-50.0000	|	false	|	 -16051.0000
344	|	0	 |	-50.0000	|	false	|	 -16101.0000
345	|	0	 |	-50.0000	|	false	|	 -16151.0000
346	|	0	 |	-50.0000	|	false	|	 -16201.0000
347	|	0	 |	-50.0000	|	false	|	 -16251.0000
348	|	0	 |	-50.0000	|	false	|	 -16301.0000
349	|	0	 |	-50.0000	|	false	|	 -16351.0000
350	|	0	 |	-50.0000	|	false	|	 -16401.0000
351	|	0	 |	-50.0000	|	false	|	 -16451.0000
352	|	0	 |	-50.0000	|	false	|	 -16501.0000
353	|	0	 |	-50.0000	|	false	|	 -16551.0000
354	|	0	 |	-50.0000	|	false	|	 -16601.0000
355	|	0	 |	-50.0000	|	false	|	 -16651.0000
356	|	0	 |	-50.0000	|	false	|	 -16701.0000
357	|	0	 |	-50.0000	|	false	|	 -16751.0000
358	|	0	 |	-50.0000	|	false	|	 -16801.0000
359	|	0	 |	-50.0000	|	false	|	 -16851.0000
360	|	0	 |	-50.0000	|	false	|	 -16901.0000
361	|	0	 |	-50.0000	|	false	|	 -16951.0000
362	|	0	 |	-50.0000	|	false	|	 -17001.0000
363	|	0	 |	-50.0000	|	false	|	 -17051.0000
364	|	0	 |	-50.0000	|	false	|	 -17101.0000
365	|	0	 |	-50.0000	|	false	|	 -17151.0000
366	|	0	 |	-50.0000	|	false	|	 -17201.0000
367	|	0	 |	-50.0000	|	false	|	 -17251.0000
368	|	0	 |	-50.0000	|	false	|	 -17301.0000
369	|	0	 |	-50.0000	|	false	|	 -17351.0000
370	|	0	 |	-50.0000	|	false	|	 -17401.0000
371	|	0	 |	-50.0000	|	false	|	 -17451.0000
372	|	0	 |	-50.0000	|	false	|	 -17501.0000
373	|	0	 |	-50.0000	|	false	|	 -17551.0000
374	|	0	 |	-50.0000	|	false	|	 -17601.0000
375	|	0	 |	-50.0000	|	false	|	 -17651.0000
376	|	0	 |	-50.0000	|	false	|	 -17701.0000
377	|	0	 |	-50.0000	|	false	|	 -17751.0000
378	|	0	 |	-50.0000	|	false	|	 -17801.0000
379	|	0	 |	-50.0000	|	false	|	 -17851.0000
380	|	0	 |	-50.0000	|	false	|	 -17901.0000
381	|	0	 |	-50.0000	|	false	|	 -17951.0000
382	|	0	 |	-50.0000	|	false	|	 -18001.0000
383	|	0	 |	-50.0000	|	false	|	 -18051.0000
384	|	0	 |	-50.0000	|	false	|	 -18101.0000
385	|	0	 |	-50.0000	|	false	|	 -18151.0000
386	|	0	 |	-50.0000	|	false	|	 -18201.0000
387	|	0	 |	-50.0000	|	false	|	 -18251.0000
388	|	0	 |	-50.0000	|	false	|	 -18301.0000
389	|	0	 |	-50.0000	|	false	|	 -18351.0000
390	|	0	 |	-50.0000	|	false	|	 -18401.0000
391	|	0	 |	-50.0000	|	false	|	 -18451.0000
392	|	0	 |	-50.0000	|	false	|	 -18501.0000
393	|	0	 |	-50.0000	|	false	|	 -18551.0000
394	|	0	 |	-50.0000	|	false	|	 -18601.0000
395	|	0	 |	-50.0000	|	false	|	 -18651.0000
396	|	0	 |	-50.0000	|	false	|	 -18701.0000
397	|	0	 |	-50.0000	|	false	|	 -18751.0000
398	|	0	 |	-50.0000	|	false	|	 -18801.0000
399	|	0	 |	-50.0000	|	false	|	 -18851.0000
400	|	0	 |	-50.0000	|	false	|	 -18901.0000
401	|	0	 |	-50.0000	|	false	|	 -18951.0000
402	|	0	 |	-50.0000	|	false	|	 -19001.0000
403	|	0	 |	-50.0000	|	false	|	 -19051.0000
404	|	0	 |	-50.0000	|	false	|	 -19101.0000
405	|	0	 |	-50.0000	|	false	|	 -19151.0000
406	|	0	 |	-50.0000	|	false	|	 -19201.0000
407	|	0	 |	-50.0000	|	false	|	 -19251.0000
408	|	0	 |	-50.0000	|	false	|	 -19301.0000
409	|	0	 |	-50.0000	|	false	|	 -19351.0000
410	|	0	 |	-50.0000	|	false	|	 -19401.0000
411	|	0	 |	-50.0000	|	false	|	 -19451.0000
412	|	0	 |	-50.0000	|	false	|	 -19501.0000
413	|	0	 |	-50.0000	|	false	|	 -19551.0000
414	|	0	 |	-50.0000	|	false	|	 -19601.0000
415	|	0	 |	-50.0000	|	false	|	 -19651.0000
416	|	0	 |	-50.0000	|	false	|	 -19701.0000
417	|	0	 |	-50.0000	|	false	|	 -19751.0000
418	|	0	 |	-50.0000	|	false	|	 -19801.0000
419	|	0	 |	-50.0000	|	false	|	 -19851.0000
420	|	0	 |	-50.0000	|	false	|	 -19901.0000
421	|	0	 |	-50.0000	|	false	|	 -19951.0000
422	|	0	 |	-50.0000	|	false	|	 -20001.0000
423	|	0	 |	-50.0000	|	false	|	 -20051.0000
424	|	0	 |	-50.0000	|	false	|	 -20101.0000
425	|	0	 |	-50.0000	|	false	|	 -20151.0000
426	|	0	 |	-50.0000	|	false	|	 -20201.0000
427	|	0	 |	-50.0000	|	false	|	 -20251.0000
428	|	0	 |	-50.0000	|	false	|	 -20301.0000
429	|	0	 |	-50.0000	|	false	|	 -20351.0000
430	|	0	 |	-50.0000	|	false	|	 -20401.0000
431	|	0	 |	-50.0000	|	false	|	 -20451.0000
432	|	0	 |	-50.0000	|	false	|	 -20501.0000
433	|	0	 |	-50.0000	|	false	|	 -20551.0000
434	|	0	 |	-50.0000	|	false	|	 -20601.0000
435	|	0	 |	-50.0000	|	false	|	 -20651.0000
436	|	0	 |	-50.0000	|	false	|	 -20701.0000
437	|	0	 |	-50.0000	|	false	|	 -20751.0000
438	|	0	 |	-50.0000	|	false	|	 -20801.0000
439	|	0	 |	-50.0000	|	false	|	 -20851.0000
440	|	0	 |	-50.0000	|	false	|	 -20901.0000
441	|	0	 |	-50.0000	|	false	|	 -20951.0000
442	|	0	 |	-50.0000	|	false	|	 -21001.0000
443	|	0	 |	-50.0000	|	false	|	 -21051.0000
444	|	0	 |	-50.0000	|	false	|	 -21101.0000
445	|	0	 |	-50.0000	|	false	|	 -21151.0000
446	|	0	 |	-50.0000	|	false	|	 -21201.0000
447	|	0	 |	-50.0000	|	false	|	 -21251.0000
448	|	0	 |	-50.0000	|	false	|	 -21301.0000
449	|	0	 |	-50.0000	|	false	|	 -21351.0000
450	|	0	 |	-50.0000	|	false	|	 -21401.0000
451	|	0	 |	-50.0000	|	false	|	 -21451.0000
452	|	0	 |	-50.0000	|	false	|	 -21501.0000
453	|	0	 |	-50.0000	|	false	|	 -21551.0000
454	|	0	 |	-50.0000	|	false	|	 -21601.0000
455	|	0	 |	-50.0000	|	false	|	 -21651.0000
456	|	0	 |	-50.0000	|	false	|	 -21701.0000
457	|	0	 |	-50.0000	|	false	|	 -21751.0000
458	|	0	 |	-50.0000	|	false	|	 -21801.0000
459	|	0	 |	-50.0000	|	false	|	 -21851.0000
460	|	0	 |	-50.0000	|	false	|	 -21901.0000
461	|	0	 |	-50.0000	|	false	|	 -21951.0000
